route_id,service_id,trip_id
U5410,weekday,weekday_U5410_U541002_2
U5410,weekday,weekday_U5410_U541002_3
U5410,weekend,weekend_U5410_U541002_0
U5410,weekend,weekend_U5410_U541002_1
U5410,weekend,weekend_U5410_U541002_2
U5410,weekend,weekend_U5410_U541002_3
U8020,weekend,weekend_U8020_U802002_0
U8020,weekend,weekend_U8020_U802002_1
U8020,weekend,weekend_U8020_U802002_2
U8020,weekend,weekend_U8020_U802002_3
U8020,weekend,weekend_U8020_U802002_4
U8020,weekend,weekend_U8020_U802002_5
U8020,weekend,weekend_U8020_U802002_6
U8020,weekend,weekend_U8020_U802002_7
U8020,weekend,weekend_U8020_U802002_8
